eta,u_computed,blasius
0.14583,0.0518202,0.0484228
0.437489,0.154415,0.145187
0.729148,0.255485,0.241472
1.02081,0.354107,0.336495
1.31247,0.449216,0.42913
1.60413,0.53948,0.51798
1.89579,0.623422,0.601506
2.18744,0.699604,0.678185
2.4791,0.766833,0.746693
2.77076,0.824332,0.806081
3.06242,0.871864,0.855898
3.35408,0.90975,0.896239
3.64574,0.938806,0.927718
3.9374,0.960205,0.95135
4.22906,0.975311,0.968399
4.52072,0.985506,0.980208
4.81238,0.992058,0.988058
5.10404,0.99604,0.993062
5.3957,0.998297,0.996121
5.68736,0.999443,0.997914
5.97901,0.999925,0.998921
