label,N,L1
viscous MUSCL,16,0.00537443
viscous MUSCL,32,0.00125881
viscous MUSCL,64,0.000288743
viscous MUSCL,128,6.84608e-05
viscous WENO5,16,0.00526386
viscous WENO5,32,0.00138286
viscous WENO5,64,0.000341051
viscous WENO5,128,8.87914e-05
viscous MUSCL+gravity,16,0.00546261
viscous MUSCL+gravity,32,0.00127613
viscous MUSCL+gravity,64,0.00029306
viscous MUSCL+gravity,128,6.90567e-05
inviscid MUSCL,16,0.00748963
inviscid MUSCL,32,0.0032478
inviscid MUSCL,64,0.00156768
inviscid MUSCL,128,0.000786297
inviscid WENO5,16,0.00653374
inviscid WENO5,32,0.00321533
inviscid WENO5,64,0.00159533
inviscid WENO5,128,0.000798898
