t,lambda,lambda_exact
0,0,0
0.02,0.00491299,0.00491299
0.04,0.00980185,0.00980185
0.06,0.0146667,0.0146667
0.08,0.0195076,0.0195076
0.1,0.0243248,0.0243248
0.12,0.0291182,0.0291182
0.14,0.0338882,0.0338882
0.16,0.0386347,0.0386347
0.18,0.0433579,0.0433579
0.2,0.0480578,0.0480578
0.22,0.0527347,0.0527347
0.24,0.0573886,0.0573886
0.26,0.0620197,0.0620197
0.28,0.066628,0.066628
0.3,0.0712136,0.0712136
0.32,0.0757767,0.0757767
0.34,0.0803174,0.0803174
0.36,0.0848358,0.0848358
0.38,0.089332,0.089332
0.4,0.0938061,0.0938061
0.42,0.0982582,0.0982582
0.44,0.102688,0.102688
0.46,0.107097,0.107097
0.48,0.111484,0.111484
0.5,0.115849,0.115849
0.52,0.120193,0.120193
0.54,0.124515,0.124515
0.56,0.128817,0.128817
0.58,0.133097,0.133097
0.6,0.137356,0.137356
0.62,0.141594,0.141594
0.64,0.145811,0.145811
0.66,0.150008,0.150008
0.68,0.154184,0.154184
0.7,0.158339,0.158339
0.72,0.162475,0.162475
0.74,0.166589,0.166589
0.76,0.170684,0.170684
0.78,0.174758,0.174758
0.8,0.178813,0.178813
0.82,0.182847,0.182847
0.84,0.186862,0.186862
0.86,0.190857,0.190857
0.88,0.194832,0.194832
0.9,0.198788,0.198788
0.92,0.202724,0.202724
0.94,0.206641,0.206641
0.96,0.210539,0.210539
0.98,0.214418,0.214418
1,0.218277,0.218277
1.02,0.222118,0.222118
1.04,0.225939,0.225939
1.06,0.229742,0.229742
1.08,0.233527,0.233527
1.1,0.237292,0.237292
1.12,0.24104,0.24104
1.14,0.244768,0.244768
1.16,0.248479,0.248479
1.18,0.252171,0.252171
1.2,0.255845,0.255845
1.22,0.259501,0.259501
1.24,0.263139,0.263139
1.26,0.266759,0.266759
1.28,0.270362,0.270362
1.3,0.273946,0.273946
1.32,0.277514,0.277514
1.34,0.281063,0.281063
1.36,0.284595,0.284595
1.38,0.28811,0.28811
1.4,0.291608,0.291608
1.42,0.295088,0.295088
1.44,0.298551,0.298551
1.46,0.301997,0.301997
1.48,0.305427,0.305427
1.5,0.308839,0.308839
1.52,0.312235,0.312235
1.54,0.315614,0.315614
1.56,0.318976,0.318976
1.58,0.322322,0.322322
1.6,0.325651,0.325651
1.62,0.328965,0.328964
1.64,0.332261,0.332261
1.66,0.335542,0.335542
1.68,0.338806,0.338806
1.7,0.342055,0.342055
1.72,0.345287,0.345287
1.74,0.348504,0.348504
1.76,0.351705,0.351705
1.78,0.35489,0.35489
1.8,0.358059,0.358059
1.82,0.361213,0.361213
1.84,0.364351,0.364351
1.86,0.367474,0.367474
1.88,0.370582,0.370582
1.9,0.373674,0.373674
1.92,0.376751,0.376751
1.94,0.379813,0.379813
1.96,0.38286,0.38286
1.98,0.385892,0.385892
2,0.388909,0.388909
