step,drift
1,1.910115e-10
2,4.925458e-10
3,1.389731e-10
4,1.526774e-10
5,3.854138e-10
6,1.409417e-09
7,2.004020e-09
8,2.691115e-09
9,8.301655e-10
10,2.816976e-10
11,3.771253e-10
12,1.418363e-09
13,8.861885e-10
14,4.638246e-10
15,1.174573e-09
16,7.369791e-10
17,2.250484e-09
18,2.470953e-09
19,2.682685e-09
20,2.174122e-09
21,5.057850e-10
22,4.694288e-10
23,1.536899e-10
24,3.380495e-10
25,1.694519e-10
26,1.452252e-10
27,1.606086e-10
28,1.456479e-11
29,4.733022e-10
30,5.934968e-10
31,1.712611e-09
32,6.989805e-10
33,5.612485e-10
34,3.334372e-10
35,8.892595e-10
36,1.339569e-09
37,1.231399e-09
38,2.606422e-09
39,2.960738e-09
40,2.590363e-09
41,2.387370e-09
42,1.441321e-09
43,1.742275e-09
44,9.646795e-10
45,3.719914e-11
46,5.670949e-11
47,1.258331e-09
48,9.337950e-10
49,7.303831e-10
50,1.441133e-09
51,2.338895e-09
52,4.101325e-09
53,4.028639e-09
54,4.274844e-09
55,4.521665e-09
56,4.726535e-09
57,5.800237e-09
58,5.370658e-09
59,4.435991e-09
60,2.806502e-09
61,3.406653e-09
62,4.186739e-09
63,4.627562e-09
64,4.078871e-09
65,3.992655e-09
66,4.564481e-09
67,4.385505e-09
68,4.118970e-09
69,3.855297e-09
70,4.055701e-09
71,4.751254e-09
72,5.315167e-09
73,6.538518e-09
74,7.154228e-09
75,6.413632e-09
76,5.351513e-09
77,5.007924e-09
78,4.698530e-09
79,3.979232e-09
80,4.201291e-09
81,4.865677e-09
82,4.614252e-09
83,4.110005e-09
84,4.832389e-09
85,4.414427e-09
86,5.113573e-09
87,4.605373e-09
88,4.240021e-09
89,4.114332e-09
90,5.056102e-09
91,5.036505e-09
92,4.988688e-09
93,4.928452e-09
94,6.226131e-09
95,5.995372e-09
96,6.454108e-09
97,4.915045e-09
98,5.172049e-09
99,4.362889e-09
100,3.788665e-09
101,2.932325e-09
102,3.692003e-09
103,2.835167e-09
104,3.773560e-09
105,3.129549e-09
106,3.228879e-09
107,2.802505e-09
108,2.284613e-09
109,8.652810e-10
110,7.405943e-11
111,3.254034e-10
112,2.051930e-10
113,6.850018e-11
114,2.686045e-10
115,4.030264e-10
116,2.617584e-10
117,2.715721e-10
118,8.027173e-10
119,9.532122e-10
120,6.417160e-10
121,7.434736e-10
122,1.083459e-09
123,9.287694e-10
124,5.850932e-10
125,1.201238e-09
126,1.041184e-09
127,1.288216e-09
128,1.029783e-09
129,1.328102e-09
130,1.034483e-09
131,1.297133e-09
132,2.494350e-09
133,2.347035e-09
134,2.337303e-09
135,3.433889e-09
136,4.129908e-09
137,4.489333e-09
138,3.865941e-09
139,3.651288e-09
140,4.653397e-09
141,4.086663e-09
142,3.935942e-09
143,4.358754e-09
144,4.710080e-09
145,5.652826e-09
146,4.920614e-09
147,5.524382e-09
148,5.546088e-09
149,5.794334e-09
150,5.446193e-09
151,5.666100e-09
152,5.359033e-09
153,5.053511e-09
154,5.386216e-09
155,5.959274e-09
156,6.996028e-09
157,7.334705e-09
158,7.186960e-09
159,6.827326e-09
160,6.651203e-09
161,6.130099e-09
162,6.141094e-09
163,6.503323e-09
164,6.390431e-09
165,6.745837e-09
166,7.039006e-09
167,6.419749e-09
168,5.774465e-09
169,6.062167e-09
170,5.020790e-09
171,4.916176e-09
172,4.276687e-09
173,3.784572e-09
174,3.076776e-09
175,3.269441e-09
176,3.644322e-09
177,2.949814e-09
178,2.589685e-09
179,2.073466e-09
180,3.729939e-09
181,2.379883e-09
182,1.340463e-09
183,1.329790e-09
184,2.026264e-09
185,2.916068e-09
186,3.287861e-09
187,3.621572e-09
188,3.424804e-09
189,3.440777e-09
190,3.073563e-09
191,3.397484e-09
192,3.606773e-09
193,4.273828e-09
194,4.050597e-09
195,3.843094e-09
196,4.038727e-09
197,3.497124e-09
198,3.878514e-09
199,4.538386e-09
200,3.938021e-09
